id,carrier,policy_status_in_carrier_portal,stage_monday,created_at,updated_at,carrier_code,carrier_id
03670ccd-5b88-4cbf-b27d-98100079859a,Transamerica,Surrendered,Charge Back,2026-02-18 08:50:01.977074+00,2026-02-18 08:50:01.977074+00,TRANSAMERICA,78cb3eff-4f31-48a3-8bb3-3c40450c33a4
046e8471-b44e-4e51-a2f7-e2ed54f2cd5a,Transamerica,Pending,Pending,2026-02-18 08:49:56.866628+00,2026-02-18 08:49:56.866628+00,TRANSAMERICA,78cb3eff-4f31-48a3-8bb3-3c40450c33a4
059a3d73-6d19-483f-9648-fcbf1ed7e652,Aetna,Application Withdrawn,Withdrawn,2026-02-18 08:37:27.16558+00,2026-02-18 08:37:27.16558+00,AETNA,a1987afa-3ef8-4a63-be78-40eda31bb719
06231399-cb02-41a0-a867-dfc1fe7ff01b,Aetna,Decline,Declined,2026-02-18 08:37:27.16558+00,2026-02-18 08:37:27.16558+00,AETNA,a1987afa-3ef8-4a63-be78-40eda31bb719
073deabe-2267-4255-bc4f-83e49e334647,SBLI,Not Taken,Charge Back,2026-02-18 08:49:51.570723+00,2026-02-18 08:49:51.570723+00,SBLI,
09428add-8fcb-4d90-af09-88f9d818c2c3,MOH,Incomplete,Closed as Incomplete,2026-02-18 08:49:35.399082+00,2026-02-18 08:49:35.399082+00,MOH,150e7f3c-1aa2-4031-867c-306a0a776aac
0c0a4c96-f9d4-490a-81e6-c314706989fe,CHUB,Terminated,Charge Back,2026-02-18 08:49:02.329702+00,2026-02-18 08:49:02.329702+00,CHUB,
0e83c5e4-afe9-4eb3-9a24-3e718d57cc86,Americo,Pending Outstanding Requirements,Pending,2026-02-18 08:48:49.428877+00,2026-02-18 08:48:49.428877+00,AMERICO,
0f7ee994-d5ad-4510-a5e4-088af139b022,Corebridge,Active,Issued Paid,2026-02-18 08:49:18.829114+00,2026-02-18 08:49:18.829114+00,COREBRIDGE,0bed10d2-2ec2-4f51-b6a5-04f2f2a1b77b
131e859d-aafa-4b02-82ad-04ef0674b829,ANAM,Act-Pastdue,Pending Lapse,2026-02-18 08:48:56.495495+00,2026-02-18 08:48:56.495495+00,AMAM,9f8ad227-d0c3-4c41-83ef-22c8e8b24f1c
