policy_number,commission_agency_carrier_names,commission_agency_carrier_ids,deal_agency_carrier_names,deal_agency_carrier_ids,overlap_agency_carrier_names,overlap_agency_carrier_ids,commission_only_agency_carrier_names,commission_only_agency_carrier_ids,deal_only_agency_carrier_names,deal_only_agency_carrier_ids,call_centers,carriers_seen,commission_row_count,deal_row_count
600417390,Unlimited Insurance -> SBLI | Heritage Insurance -> SBLI,d06c1366-77e7-4be9-bc5f-ee3ebf6fbd9c | 33763b28-75dc-4f05-8daf-cb248a0981c6,Heritage Insurance -> SBLI,33763b28-75dc-4f05-8daf-cb248a0981c6,Heritage Insurance -> SBLI,33763b28-75dc-4f05-8daf-cb248a0981c6,Unlimited Insurance -> SBLI,d06c1366-77e7-4be9-bc5f-ee3ebf6fbd9c,,,NanoTech,SBLI,2,1
602933803,Unlimited Insurance -> SBLI | Heritage Insurance -> SBLI,d06c1366-77e7-4be9-bc5f-ee3ebf6fbd9c | 33763b28-75dc-4f05-8daf-cb248a0981c6,Heritage Insurance -> SBLI,33763b28-75dc-4f05-8daf-cb248a0981c6,Heritage Insurance -> SBLI,33763b28-75dc-4f05-8daf-cb248a0981c6,Unlimited Insurance -> SBLI,d06c1366-77e7-4be9-bc5f-ee3ebf6fbd9c,,,Ambition BPO,SBLI,2,1
608822185,Unlimited Insurance -> SBLI | Heritage Insurance -> SBLI,d06c1366-77e7-4be9-bc5f-ee3ebf6fbd9c | 33763b28-75dc-4f05-8daf-cb248a0981c6,Heritage Insurance -> SBLI,33763b28-75dc-4f05-8daf-cb248a0981c6,Heritage Insurance -> SBLI,33763b28-75dc-4f05-8daf-cb248a0981c6,Unlimited Insurance -> SBLI,d06c1366-77e7-4be9-bc5f-ee3ebf6fbd9c,,,The Zupax Marketing,SBLI,2,1
6250091548,Heritage Insurance -> CoreBridge,f992da46-e170-4ca6-bd77-175b4b57bd05,Heritage Insurance -> CoreBridge | Unlimited Insurance -> CoreBridge,f992da46-e170-4ca6-bd77-175b4b57bd05 | 3b9cd047-3a3a-429a-a50b-34c6ce2fe6b9,Heritage Insurance -> CoreBridge,f992da46-e170-4ca6-bd77-175b4b57bd05,,,Unlimited Insurance -> CoreBridge,3b9cd047-3a3a-429a-a50b-34c6ce2fe6b9,Cyber Leads | Internal BPO,CoreBridge,2,2
ACC7185151,Unlimited Insurance -> Aetna,a3ad287f-f750-4ae8-a081-a9e64a0f1c96,Safe Harbor Insurance -> Aetna,d30e5f5a-4909-469a-b62f-53f2b5f0a319,,,Unlimited Insurance -> Aetna,a3ad287f-f750-4ae8-a081-a9e64a0f1c96,Safe Harbor Insurance -> Aetna,d30e5f5a-4909-469a-b62f-53f2b5f0a319,DownTown BPO,Aetna,1,1
ACC7187250,Unlimited Insurance -> Aetna,a3ad287f-f750-4ae8-a081-a9e64a0f1c96,Safe Harbor Insurance -> Aetna,d30e5f5a-4909-469a-b62f-53f2b5f0a319,,,Unlimited Insurance -> Aetna,a3ad287f-f750-4ae8-a081-a9e64a0f1c96,Safe Harbor Insurance -> Aetna,d30e5f5a-4909-469a-b62f-53f2b5f0a319,DownTown BPO,Aetna,1,1
AMH6309957,Unlimited Insurance -> AHL | Safe Harbor Insurance -> AHL,98771060-e573-4cd6-9f4f-aaa14a3faee4 | 9466ea30-baa8-4532-9b6f-68d81486128e,Safe Harbor Insurance -> AHL,9466ea30-baa8-4532-9b6f-68d81486128e,Safe Harbor Insurance -> AHL,9466ea30-baa8-4532-9b6f-68d81486128e,Unlimited Insurance -> AHL,98771060-e573-4cd6-9f4f-aaa14a3faee4,,,WinBPO,AHL,2,1
BU5545939,Unlimited Insurance -> Mutual of Omaha | Heritage Insurance -> Mutual of Omaha,9deab54c-108e-4116-b194-bd0f563ed18b | da0b4143-94ec-4eb8-bcd4-f8fb68728616,Unlimited Insurance -> Mutual of Omaha,9deab54c-108e-4116-b194-bd0f563ed18b,Unlimited Insurance -> Mutual of Omaha,9deab54c-108e-4116-b194-bd0f563ed18b,Heritage Insurance -> Mutual of Omaha,da0b4143-94ec-4eb8-bcd4-f8fb68728616,,,Plexi BPO,Mutual of Omaha,3,1
BU5612916,Heritage Insurance -> Mutual of Omaha | Unlimited Insurance -> Mutual of Omaha,da0b4143-94ec-4eb8-bcd4-f8fb68728616 | 9deab54c-108e-4116-b194-bd0f563ed18b,Heritage Insurance -> Mutual of Omaha,da0b4143-94ec-4eb8-bcd4-f8fb68728616,Heritage Insurance -> Mutual of Omaha,da0b4143-94ec-4eb8-bcd4-f8fb68728616,Unlimited Insurance -> Mutual of Omaha,9deab54c-108e-4116-b194-bd0f563ed18b,,,CoreBiz BPO,Mutual of Omaha,2,1
BU6313231,Unlimited Insurance -> Mutual of Omaha,9deab54c-108e-4116-b194-bd0f563ed18b,Heritage Insurance -> Mutual of Omaha,da0b4143-94ec-4eb8-bcd4-f8fb68728616,,,Unlimited Insurance -> Mutual of Omaha,9deab54c-108e-4116-b194-bd0f563ed18b,Heritage Insurance -> Mutual of Omaha,da0b4143-94ec-4eb8-bcd4-f8fb68728616,SellerZ BPO,Mutual of Omaha,1,1
