policy_number,carrier,call_center,status,effective_date,week_of
"#N/A","#REF!","ArkTech BPO","paid_delete","2025-05-05","May 5th - May 11th"
"Pending New Carrier NOT CICA","#REF!","ArkTech BPO","paid_delete","2025-05-05","May 5th - May 11th"
"#N/A","#REF!","Reliant BPO","rechargeback","2025-05-05","May 5th - May 11th"
"#N/A","#REF!","Cyber Leads","repay","2025-05-19","May 19th - May 25th"
"#N/A","#REF!","Cyber Leads","paid_delete","2025-05-19","May 19th - May 25th"
"#N/A","#REF!","Maverick Communications","paid_delete","2025-05-19","May 19th - May 25th"
"#N/A","#REF!","Cyber Leads","paid_delete","2025-05-26","May 26th - June 1st"
"#N/A","#REF!","Cyber Leads","paid_delete","2025-05-26","May 26th - June 1st"
"#N/A","#REF!","Cyber Leads","paid_delete","2025-05-26","May 26th - June 1st"
"#N/A","#REF!","Cyber Leads","paid_delete","2025-06-02","June 2nd - June 8th"
"#N/A","#REF!","Cyber Leads","rechargeback","2025-06-02","June 2nd - June 8th"
"Pending New Carrier NOT CICA","#REF!","ArkTech BPO","New Charge Back","2025-06-09","June 9th - June 15th"
"#N/A","#REF!","CoreBiz BPO","paid_delete","2025-06-16","June 16th - June 22nd"
"#N/A","#REF!","Cyber Leads","paid_delete","2025-06-16","June 16th - June 22nd"
"#N/A","#REF!","GrowthOnics BPO","rechargeback","2025-06-16","June 16th - June 22nd"
"Pending New Carrier NOT CICA","#REF!","ArkTech BPO","repay","2025-07-14","July 14th - July 20th"
"Pending New Carrier NOT CICA","#REF!","ArkTech BPO","paid_delete","2025-07-21","July 21st - July 27th"
"2200049131","#REF!","Ambition BPO","new_sale","2025-07-28","July 28th - August 3rd"
"Pending New Carrier NOT CICA","#REF!","ArkTech BPO","rechargeback","2025-08-04","August 4th - August 10th"
"#N/A","#REF!","Quotes BPO","paid_delete","2025-08-11","August 11th - August 17th"
"PENDING GTL","#REF!","ArkTech BPO","new_sale","2025-08-18","August 18th - August 24th"
"#N/A","#REF!","Quotes BPO","paid_delete","2025-08-18","August 18th - August 24th"
"#N/A","#REF!","Quotes BPO","paid_delete","2025-08-18","August 18th - August 24th"
"#N/A","#REF!","Quotes BPO","paid_delete","2025-08-18","August 18th - August 24th"
"#N/A","#REF!","Ambition BPO","paid_delete","2025-08-25","August 25th - August 31th"
"Pending New Carrier NOT CICA","#REF!","The Zupax Marketing","repay","2025-08-25","August 25th - August 31th"
"5000","Royal Neighbors","CrossNotch BPO","new_sale","2025-11-17","November 17th - November 30th"
